height,width,depth,weight,color,quality
0.94704,1.00909,0.96897,0.50851,9,0
1.02792,1.0047,1.07333,0.51777,8,0
0.9765,1.02816,1.08199,0.55087,10,0
0.98168,0.94955,1.05328,0.55498,10,1
0.93911,1.06875,0.95818,0.71408,8,1
0.98113,1.05626,1.0936,0.5316,2,0
0.9495,0.91587,1.01412,0.62584,1,0
1.00507,0.9385,0.94379,0.52893,10,0
1.04648,0.92413,0.96399,0.76152,5,0
0.96038,0.92198,1.06934,0.72093,3,1
0.96479,0.99032,0.92941,0.55753,5,1
0.98725,1.06478,1.08287,0.51793,7,0
0.9462,1.08322,0.90239,0.69806,2,0
1.0005,1.02538,1.08386,0.79423,1,0
1.04271,0.92764,0.91027,0.68869,4,0
1.03856,1.02942,0.99737,0.60247,1,1
0.9487,0.94004,0.97978,0.6513,3,1
0.99068,1.00254,0.97261,0.51344,8,0
0.98802,0.91848,1.05637,0.56535,4,0
0.96274,0.99356,1.03582,0.60112,6,1
0.98452,0.91592,1.08582,0.64345,8,0
0.95626,1.01849,1.02967,0.58569,2,1
0.98152,1.00947,0.93848,0.77695,5,0
1.08339,1.06022,0.96928,0.52956,3,1
0.97784,1.07399,0.99181,0.7581,6,0
1.03968,1.09246,0.92507,0.59114,1,0
0.99876,1.04853,1.04514,0.79796,3,1
1.09573,0.96202,1.06751,0.52124,2,0
0.9524,0.9053,0.96538,0.63739,2,0
0.91128,0.96056,0.99821,0.72961,7,0
1.00607,1.06565,0.9942,0.50391,2,0
0.97351,0.92296,0.97191,0.7075,4,1
0.9478,1.01536,1.08895,0.60482,7,0
0.91908,0.90134,1.05041,0.70888,3,1
0.99662,0.99661,0.97818,0.5834,3,1
0.90024,0.9011,1.0472,0.58683,3,1
0.95737,0.95852,1.01289,0.62267,4,1
0.97862,0.97044,1.01137,0.61099,1,1
1.0089,1.06714,1.07204,0.58449,10,1
1.0396,0.95923,1.02469,0.67569,9,1
0.99469,0.99855,0.98868,0.77791,3,1
1.09157,0.90661,1.01327,0.62934,10,0
0.97427,1.0819,0.90671,0.63151,6,0
0.91674,0.92232,0.92743,0.60385,9,0
1.09752,0.97251,0.97589,0.58071,1,0
0.96998,1.03199,1.07296,0.71975,4,1
0.9144,1.08162,1.06027,0.51877,4,0
0.95607,1.01562,1.01204,0.71188,8,1
1.08922,1.0715,0.93437,0.58045,7,0
0.92841,0.99464,1.01239,0.79811,8,0
1.07518,0.95174,1.00739,0.59368,8,1
1.04634,0.90214,1.07081,0.69427,9,0
1.08572,0.98272,1.06214,0.73148,5,0
0.95969,1.09166,0.92225,0.75493,3,1
0.9869,1.01009,0.91275,0.51876,3,1
0.99307,0.97019,0.95434,0.79764,6,0
0.91258,0.96697,1.03169,0.77681,8,0
0.9317,1.09422,0.94196,0.68186,2,0
